id,nombre,apertura_1,apertura_2,desarrollo_1,desarrollo_2,riesgo_1,riesgo_2
el_loco,El Loco,"hay un impulso hacia lo desconocido","existe una energía de inicio sin ataduras","la libertad y la espontaneidad son protagonistas","se actúa desde la intuición más que desde el plan","lo que puede traer saltos al vacío sin medir consecuencias","generando una sensación de inestabilidad difícil de ignorar"
el_mago,El Mago,"hay una capacidad real para manifestar lo que se desea","se cuenta con las herramientas necesarias para actuar","la voluntad y la concentración están en su punto más alto","cada recurso disponible puede ser usado con maestría","lo que puede degenerar en manipulación si no se actúa con ética","generando un poder que seduce pero que también puede corromper"
la_sacerdotisa,La Sacerdotisa,"hay un saber intuitivo que todavía no ha sido expresado","algo importante permanece en silencio, esperando ser escuchado","la respuesta ya está dentro, no afuera","el misterio que rodea la situación es parte del proceso","lo que puede llevar a una parálisis por exceso de introspección","generando una distancia emocional que aísla en lugar de proteger"
la_emperatriz,La Emperatriz,"hay una energía fértil y creativa que busca expresarse","existe una abundancia que puede ser cultivada con cuidado","el cuerpo, la naturaleza y los sentidos juegan un papel central","nutrir y ser nutrido son necesidades que no deben ignorarse","lo que puede volverse sofocante si el cuidado se convierte en control","generando dependencias emocionales que limitan el crecimiento"
el_emperador,El Emperador,"hay una necesidad de estructura y orden en esta situación","existe una autoridad que define los límites del terreno","la disciplina y la firmeza son los pilares del momento","la lógica y la estrategia prevalecen sobre el impulso","lo que puede transformarse en rigidez que impide adaptarse","generando un control que sofoca en lugar de sostener"
el_hierofante,El Hierofante,"hay una influencia de tradiciones o sistemas de creencias establecidos","existe una guía externa que está siendo buscada o impuesta","los valores heredados y las normas sociales tienen peso aquí","aprender de quien tiene experiencia puede ser valioso en este momento","lo que puede convertirse en dogmatismo si no se cuestiona lo recibido","generando una dependencia de la aprobación ajena que limita la autonomía"
los_enamorados,Los Enamorados,"hay una elección importante que involucra el corazón","existe una conexión profunda que pone a prueba los valores propios","el amor, la afinidad y la alineación personal están en juego","decidir desde el alma y no desde el miedo es el verdadero reto","lo que puede derivar en indecisión paralizante ante dos caminos igualmente válidos","generando conflictos entre el deseo y lo que se considera correcto"
el_carro,El Carro,"hay un impulso de avanzar con determinación hacia una meta","existe una fuerza de voluntad que busca dominar la situación","el movimiento y la dirección son claves en este momento","controlar fuerzas opuestas requiere enfoque y disciplina","lo que puede convertirse en arrogancia si se pierde la humildad en el camino","generando una velocidad tan alta que impide ver lo que se deja atrás"
la_fuerza,La Fuerza,"hay una fortaleza interior que supera cualquier obstáculo externo","existe una valentía silenciosa que sostiene desde adentro","la paciencia y la compasión son más poderosas que la imposición","dominar los propios impulsos es la verdadera prueba de este momento","lo que puede resultar agotador si se carga con demasiado sin pedir ayuda","generando una supresión de emociones que eventualmente busca salida"
el_ermitano,El Ermitaño,"hay un llamado a retirarse y buscar respuestas en el interior","existe una sabiduría que solo se encuentra en el silencio","la soledad elegida se convierte en fuente de claridad","el camino se ilumina dando un paso a la vez con conciencia","lo que puede volverse aislamiento si el retiro se prolonga más allá de lo necesario","generando una desconexión del mundo que resulta difícil de revertir"
la_rueda,La Rueda de la Fortuna,"hay un cambio de ciclo que ya está en marcha","existe una fuerza mayor que mueve las circunstancias sin pedir permiso","el destino y el azar tienen un papel importante aquí","lo que sube eventualmente baja, y viceversa","lo que puede resultar desestabilizador si se resiste el cambio inevitable","generando una sensación de falta de control que alimenta la ansiedad"
la_justicia,La Justicia,"hay una necesidad de equilibrio y de enfrentar las consecuencias de las acciones","existe una evaluación objetiva de la situación que no admite parcialidades","la verdad y la honestidad son la base sobre la cual todo se sostiene","cada acción tiene su peso y su resultado justo","lo que puede volverse frío e inflexible si se pierde la empatía en el juicio","generando una severidad que no deja espacio para el error humano"
el_colgado,El Colgado,"hay una pausa forzada que invita a ver las cosas desde otro ángulo","existe una suspensión temporal que tiene su propio propósito","soltar el control y rendirse al proceso trae más claridad que luchar","el sacrificio voluntario de algo abre una comprensión más profunda","lo que puede prolongarse innecesariamente si no se acepta la lección","generando una sensación de victimismo que impide avanzar"
la_muerte,La Muerte,"hay un final inevitable que abre paso a algo completamente nuevo","existe una transformación profunda que no se puede evitar ni postergar","dejar ir lo que ya no sirve es el acto más valioso posible ahora","el fin de un ciclo es siempre el inicio de otro","lo que puede generar resistencia y dolor si se intenta aferrarse a lo que ya terminó","generando un duelo que se niega a cerrar y congela el presente"
la_templanza,La Templanza,"hay un proceso de integración y equilibrio que está ocurriendo","existe una armonía posible si se combina lo que antes parecía opuesto","la paciencia y la moderación son las claves del momento","mezclar con cuidado las partes de la situación conduce al resultado correcto","lo que puede perderse si se actúa con prisa o se fuerza el proceso","generando desequilibrios por querer llegar demasiado rápido al resultado"
el_diablo,El Diablo,"hay una atadura o dependencia que limita la libertad real","existe una seducción poderosa que distrae de lo verdaderamente importante","los miedos y los deseos más oscuros tienen un papel protagonista","lo que ata a esta situación requiere ser nombrado con honestidad","lo que puede volverse una trampa si no se reconoce el propio papel en ella","generando ciclos repetitivos de comportamiento difíciles de romper"
la_torre,La Torre,"hay una ruptura repentina que sacude las estructuras establecidas","existe una revelación impactante que cambia la perspectiva de golpe","lo que se construyó sobre bases falsas no puede sostenerse más","el caos momentáneo es el preludio necesario de una reconstrucción más sólida","lo que puede sentirse devastador si no se acepta que había algo que necesitaba caer","generando una crisis de identidad profunda ante la pérdida de certezas"
